Mountain Men:	 80, 43
Narcopolis:	 25, 26
Room:	 94, 93
Mediterranea:	 90, 54
What Our Fathers Did: A Nazi Legacy:	 89, 73
Hyena Road:	 55, 59
Baskin:	 76, 45
Lost in Hong Kong:	 60, 49
Road Games:	 83, 41
A Country Called Home:	 17, 48
Noma: My Perfect Storm:	 58, 42
The Preppie Connection:	 11, 50
Bleed:	 50, 35
They're Watching:	 44, 37
Jane Got a Gun:	 41, 37
The Invitation:	 87, 70
The Nightingale (Ye Ying - Le promeneur d'oiseau):	 90, 59
Creep:	 92, 65
Of Men And War:	 100, 50
Phoenix:	 98, 78
The Last Man On The Moon:	 93, 78
Sembene!:	 95, 37
A Royal Night Out:	 74, 56
The Lady in the Car with Glasses and a Gun (La dame dans l'auto avec un fusil et des lunettes):	 80, 46
Drunk Stoned Brilliant Dead: The Story of the National Lampoon:	 87, 67
Glassland:	 83, 44
The Hallow (The Woods):	 74, 43
Ip Man 3:	 78, 72
Dixieland:	 10, 41
Emelie:	 88, 41
Tale of Tales (Il racconto dei racconti):	 82, 56
The Masked Saint:	 14, 61
Veteran:	 89, 76
Mojave:	 31, 24
Mustang:	 97, 88
Remember:	 72, 78
Manson Family Vacation:	 100, 56
Sky:	 60, 47
The Messenger:	 91, 57
Submerged:	 25, 23
Codegirl:	 60, 71
Anguish:	 62, 25
Mojin - The Lost Legend:	 56, 55
Ava's Possessions:	 64, 40
Special Correspondents:	 18, 28
Hush:	 91, 73
Ray Harryhausen: Special Effects Titan:	 92, 70
Kung Fu Panda 3:	 86, 78
The Finest Hours:	 64, 66
Zootopia:	 97, 92
London Has Fallen:	 25, 51
No No: A Dockumentary:	 97, 80
45 Years:	 97, 67
Seve the Movie:	 73, 70
Theeb:	 97, 76
The Witch:	 91, 57
The Boy:	 28, 38
Every Thing Will Be Fine:	 28, 23
Fastball:	 89, 79
A Perfect Day:	 73, 55
Those People:	 75, 55
King Jack:	 94, 72
Kill Zone 2 (Saat po long 2):	 100, 64
Synchronicity:	 46, 34
Colonia:	 26, 60
The Girl In The Photographs:	 15, 21
The Wave (Bolgen):	 83, 65
The Steps:	 33, 41
The Messenger:	 91, 57
Darling:	 72, 44
Rabin, the Last Day:	 68, 43
The Curse of Sleeping Beauty:	 15, 33
Elstree 1976:	 80, 39
The Fundamentals of Caring:	 76, 83
Blackway:	 20, 27
The Last King:	 78, 44
The Phenom:	 79, 38
Intruder:	 18, 25
Homeward Bound - The Incredible Journey:	 87, 71
While You Were Sleeping:	 80, 79
Robin Hood: Prince of Thieves:	 50, 72
Teenage Mutant Ninja Turtles: The Movie:	 40, 80
Ace Ventura: Pet Detective:	 46, 57
Mortal Kombat:	 34, 57
